Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-05-22,22,835.92,1077.84,1302,853.8,364.46,420.03,782.28,976.59,849.24,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-05-23,23,781.92,1011.24,976.8,829.2,362.92,447.03,797.22,1053.36,762.48,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-06-0,0,671.22,903.96,370.2,474.6,399.74,180.81,614.16,1128.87,711.72,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-06-1,1,580.86,802.26,417.6,409.2,419.29,280.71,797.4,988.38,711,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-06-2,2,526.14,718.92,337.8,388.8,418.45,472.23,797.76,1003.5,707.4,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-06-3,3,567.18,677.16,388.8,384,415.37,429.03,786.42,1089.36,714.24,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-06-4,4,517.68,664.02,405.6,336.6,391.51,462.69,445.86,1016.82,720,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-06-5,5,502.38,659.34,1031.4,624.6,346.99,433.44,728.28,953.64,746.64,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-06-6,6,559.8,694.26,1254,994.8,374.75,417.87,762.48,992.97,834.48,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-06-7,7,649.26,784.08,1447.2,1290.6,370.19,509.76,650.52,999.45,953.28,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-06-8,8,780.66,875.88,1894.8,1337.4,377.21,398.61,772.38,916.02,1281.6,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-06-9,9,774.54,937.08,1665.6,958.2,386.79,478.44,842.4,976.14,1699.2,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-06-10,10,771.3,953.1,1578,867,380.88,482.76,810.36,1030.14,2211.12,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-06-11,11,762.48,966.6,1331.4,930,399.49,456.03,797.4,1029.78,2282.76,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-06-12,12,777.42,995.76,1527.6,822,379.04,238.5,594.72,896.94,2250,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
